contaminante,columna,no_nulos,nulos,total
Ammonia (NH3),año,76639,0,76639
Ammonia (NH3),razon_social,75503,1136,76639
Ammonia (NH3),rut_razon_social,58550,18089,76639
Ammonia (NH3),nombre_establecimiento,60105,16534,76639
Ammonia (NH3),id_vu,76639,0,76639
Ammonia (NH3),ciiu4,54347,22292,76639
Ammonia (NH3),id_ciiu4,54347,22292,76639
Ammonia (NH3),rubro_vu,47086,29553,76639
Ammonia (NH3),id_rubro_vu,47086,29553,76639
Ammonia (NH3),region,76639,0,76639
Ammonia (NH3),provincia,76639,0,76639
Ammonia (NH3),comuna,76639,0,76639
Ammonia (NH3),id_comuna,73128,3511,76639
Ammonia (NH3),latitud,56911,19728,76639
Ammonia (NH3),longitud,58123,18516,76639
Ammonia (NH3),cantidad_toneladas,73128,3511,76639
Ammonia (NH3),unidad,73091,3548,76639
Ammonia (NH3),contaminantes,76639,0,76639
Ammonia (NH3),id_contaminantes,76639,0,76639
Ammonia (NH3),fuente_emisora_general,49043,27596,76639
Ammonia (NH3),id_fuente_emisora,49043,27596,76639
Ammonia (NH3),sistema,28548,48091,76639
Ammonia (NH3),ciiu6,16387,60252,76639
Ammonia (NH3),id_ciiu6,12876,63763,76639
Ammonia (NH3),tipo_fuente,16384,60255,76639
Ammonia (NH3),combustible_primario,16384,60255,76639
Ammonia (NH3),ccf8_primario,6848,69791,76639
Ammonia (NH3),combustible_secundario,4449,72190,76639
Ammonia (NH3),ccf8_secundario,452,76187,76639
Ammonia (NH3),ccf8_materia_prima,56,76583,76639
Ammonia (NH3),emision_primario,12876,63763,76639
Ammonia (NH3),emision_secundario,12876,63763,76639
Ammonia (NH3),emision_materia_prima,12876,63763,76639
Ammonia (NH3),ciiu4_antiguo,3339,73300,76639
Ammonia (NH3),id_ciiu4_antiguo,3339,73300,76639
Ammonia (NH3),rubro_vu_antiguo,3339,73300,76639
Ammonia (NH3),Listado 2024,3750,72889,76639
Ammonia (NH3),TIPO_DATO_RETC,3750,72889,76639
Ammonia (NH3),GE,3750,72889,76639
Ammonia (NH3),unidad.1,3750,72889,76639
Ammonia (NH3),potencia_kw,1,76638,76639
Ammonia (NH3),combustion,3749,72890,76639
Ammonia (NH3),fuente_esquema,76639,0,76639
Ammonia (NH3),declaracion_id,3509,73130,76639
Ammonia (NH3),ciiu6_id,3511,73128,76639
Ammonia (NH3),rubro,3511,73128,76639
Ammonia (NH3),rubro_id,3511,73128,76639
Ammonia (NH3),codigo_unico_territorial,3511,73128,76639
Ammonia (NH3),source_id,3511,73128,76639
Ammonia (NH3),codigo_fuente,3509,73130,76639
Ammonia (NH3),ccf8_procesos,51,76588,76639
Ammonia (NH3),emision_combustible_primario,3509,73130,76639
Ammonia (NH3),emision_combustible_secundario,3509,73130,76639
Ammonia (NH3),emision_procesos,3509,73130,76639
Ammonia (NH3),emision_total,3509,73130,76639
Ammonia (NH3),origen_data,3511,73128,76639
Ammonia (NH3),emision_retc,3511,73128,76639
Ammonia (NH3),tipo_outlier,3511,73128,76639
Ammonia (NH3),grupo_canonico,76639,0,76639
Arsenic (As),año,42532,0,42532
Arsenic (As),razon_social,40462,2070,42532
Arsenic (As),rut_razon_social,31808,10724,42532
Arsenic (As),nombre_establecimiento,32351,10181,42532
Arsenic (As),id_vu,42532,0,42532
Arsenic (As),ciiu4,42470,62,42532
Arsenic (As),id_ciiu4,42470,62,42532
Arsenic (As),rubro_vu,35182,7350,42532
Arsenic (As),id_rubro_vu,35182,7350,42532
Arsenic (As),region,42532,0,42532
Arsenic (As),provincia,42532,0,42532
Arsenic (As),comuna,42532,0,42532
Arsenic (As),id_comuna,39007,3525,42532
Arsenic (As),latitud,30636,11896,42532
Arsenic (As),longitud,31564,10968,42532
Arsenic (As),cantidad_toneladas,39007,3525,42532
Arsenic (As),unidad,38971,3561,42532
Arsenic (As),contaminantes,42532,0,42532
Arsenic (As),id_contaminantes,42532,0,42532
Arsenic (As),fuente_emisora_general,23719,18813,42532
Arsenic (As),id_fuente_emisora,23719,18813,42532
Arsenic (As),sistema,17396,25136,42532
Arsenic (As),ciiu6,16448,26084,42532
Arsenic (As),id_ciiu6,12923,29609,42532
Arsenic (As),tipo_fuente,16435,26097,42532
Arsenic (As),combustible_primario,16435,26097,42532
Arsenic (As),ccf8_primario,6880,35652,42532
Arsenic (As),combustible_secundario,3659,38873,42532
Arsenic (As),ccf8_secundario,456,42076,42532
Arsenic (As),ccf8_materia_prima,50,42482,42532
Arsenic (As),emision_primario,12923,29609,42532
Arsenic (As),emision_secundario,12923,29609,42532
Arsenic (As),emision_materia_prima,12923,29609,42532
Arsenic (As),ciiu4_antiguo,3355,39177,42532
Arsenic (As),id_ciiu4_antiguo,3355,39177,42532
Arsenic (As),rubro_vu_antiguo,3355,39177,42532
Arsenic (As),Listado 2024,3763,38769,42532
Arsenic (As),TIPO_DATO_RETC,3763,38769,42532
Arsenic (As),GE,3763,38769,42532
Arsenic (As),unidad.1,3763,38769,42532
Arsenic (As),potencia_kw,1,42531,42532
Arsenic (As),combustion,3750,38782,42532
Arsenic (As),fuente_esquema,42532,0,42532
Arsenic (As),declaracion_id,3525,39007,42532
Arsenic (As),ciiu6_id,3525,39007,42532
Arsenic (As),rubro,3525,39007,42532
Arsenic (As),rubro_id,3525,39007,42532
Arsenic (As),codigo_unico_territorial,3525,39007,42532
Arsenic (As),source_id,3525,39007,42532
Arsenic (As),codigo_fuente,3525,39007,42532
Arsenic (As),ccf8_procesos,44,42488,42532
Arsenic (As),emision_combustible_primario,3525,39007,42532
Arsenic (As),emision_combustible_secundario,3525,39007,42532
Arsenic (As),emision_procesos,3525,39007,42532
Arsenic (As),emision_total,3525,39007,42532
Arsenic (As),origen_data,3525,39007,42532
Arsenic (As),emision_retc,3525,39007,42532
Arsenic (As),tipo_outlier,3525,39007,42532
Arsenic (As),grupo_canonico,42532,0,42532
Benzene,año,80565,0,80565
Benzene,razon_social,80292,273,80565
Benzene,rut_razon_social,77790,2775,80565
Benzene,nombre_establecimiento,76603,3962,80565
Benzene,id_vu,80565,0,80565
Benzene,ciiu4,79721,844,80565
Benzene,id_ciiu4,79721,844,80565
Benzene,rubro_vu,58191,22374,80565
Benzene,id_rubro_vu,58191,22374,80565
Benzene,region,80565,0,80565
Benzene,provincia,80565,0,80565
Benzene,comuna,80565,0,80565
Benzene,id_comuna,69688,10877,80565
Benzene,latitud,77675,2890,80565
Benzene,longitud,77675,2890,80565
Benzene,cantidad_toneladas,69688,10877,80565
Benzene,unidad,69022,11543,80565
Benzene,contaminantes,80565,0,80565
